Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Christian McCaffrey,RB,SF,9,1,1
2,CeeDee Lamb,WR,DAL,7,1,1
3,Tyreek Hill,WR,MIA,6,2,1
4,Ja'Marr Chase,WR,CIN,12,3,1
5,Justin Jefferson,WR,MIN,6,4,1
6,Breece Hall,RB,NYJ,12,2,1
7,Bijan Robinson,RB,ATL,12,3,1
8,Amon-Ra St. Brown,WR,DET,5,5,1
9,A.J. Brown,WR,PHI,5,6,1
10,Garrett Wilson,WR,NYJ,12,7,1
11,Jonathan Taylor,RB,IND,14,4,1
12,Puka Nacua,WR,LAR,6,8,1
13,Saquon Barkley,RB,PHI,5,5,1
14,Derrick Henry,RB,BAL,14,6,1
15,Jahmyr Gibbs,RB,DET,5,7,1
16,Deebo Samuel,WR,SF,9,9,2
17,Kyren Williams,RB,LAR,6,8,1
18,Josh Allen,QB,BUF,12,1,1
19,Marvin Harrison Jr.,WR,ARI,11,10,2
20,Mike Evans,WR,TB,11,11,2
21,Brandon Aiyuk,WR,SF,9,12,2
22,Nico Collins,WR,HOU,14,13,2
23,Chris Olave,WR,NO,12,14,2
24,Jalen Hurts,QB,PHI,5,2,1
25,Travis Etienne,RB,JAC,12,9,2
26,Drake London,WR,ATL,12,15,2
27,Isiah Pacheco,RB,KC,6,10,2
28,Sam LaPorta,TE,DET,5,1,1
29,DK Metcalf,WR,SEA,10,16,2
30,Davante Adams,WR,LV,10,17,3
31,Patrick Mahomes,QB,KC,6,3,1
32,Lamar Jackson,QB,BAL,14,4,1
33,Jaylen Waddle,WR,MIA,6,18,3
34,D.J. Moore,WR,CHI,7,19,3
35,Travis Kelce,TE,KC,6,2,1
36,De'Von Achane,RB,MIA,6,11,2
37,Cooper Kupp,WR,LAR,6,20,3
38,Amari Cooper,WR,CLE,10,21,3
39,DeVonta Smith,WR,PHI,5,22,3
40,Kenneth Walker III,RB,SEA,10,12,2
41,Josh Jacobs,RB,GB,10,13,2
42,Malik Nabers,WR,NYG,11,23,3
43,Tee Higgins,WR,CIN,12,24,3
44,Joe Mixon,RB,HOU,14,14,2
45,George Pickens,WR,PIT,9,25,4
46,James Cook,RB,BUF,12,15,2
47,Mark Andrews,TE,BAL,14,3,1
48,Anthony Richardson,QB,IND,14,5,1
49,Rachaad White,RB,TB,11,16,2
50,Michael Pittman Jr.,WR,IND,14,26,4
51,Tank Dell,WR,HOU,14,27,4
52,C.J. Stroud,QB,HOU,14,6,1
53,David Montgomery,RB,DET,5,17,3
54,Stefon Diggs,WR,HOU,14,28,4
55,Zay Flowers,WR,BAL,14,29,4
56,Kyler Murray,QB,ARI,11,7,1
57,Joe Burrow,QB,CIN,12,8,1
58,James Conner,RB,ARI,11,18,3
59,Dak Prescott,QB,DAL,7,9,2
60,Trey McBride,TE,ARI,11,4,1
61,Alvin Kamara,RB,NO,12,19,3
62,Christian Kirk,WR,JAC,12,30,4
63,Terry McLaurin,WR,WSH,14,31,4
64,Jordan Love,QB,GB,10,10,2
65,Rhamondre Stevenson,RB,NE,14,20,3
66,Aaron Jones,RB,MIN,6,21,3
67,Najee Harris,RB,PIT,9,22,3
68,Rashee Rice,WR,KC,6,32,4
69,Calvin Ridley,WR,TEN,5,33,5
70,George Kittle,TE,SF,9,5,1
71,Zamir White,RB,LV,10,23,3
72,Raheem Mostert,RB,MIA,6,24,3
73,Kyle Pitts,TE,ATL,12,6,1
74,Chris Godwin,WR,TB,11,34,5
75,D'Andre Swift,RB,CHI,7,25,4
76,Diontae Johnson,WR,CAR,11,35,5
77,Jayden Reed,WR,GB,10,36,5
78,Keenan Allen,WR,CHI,7,37,5
